Aurdino time, Nitrogen pressure, Line pressure, Chamber pressure, Oxidizer feeding pressure, Load cell, Heating blanket temperature, Not connected, Nozzle temperature, Piping temperature, Plume temperature, Dump valve button status, Heating button status, Ignition button status, N2 Feeding button status, Oxidizer valve button status, Ignition SW state, Valve SW state, Current SW mode, Current SW substate, Message index
3158528,0.10,-0.20,0.00,0.55,-19.43,6.70,0,18.75,13.50,19.68,0,0,0,0,0,0,0,2,0,0
3179144,0.10,-0.20,0.00,0.65,-18.07,6.70,0,19.25,12.50,19.68,0,0,0,0,0,0,0,2,0,0
3199696,0.10,-0.20,0.00,0.45,-19.43,6.70,0,19.25,12.50,19.68,0,0,0,0,0,0,0,2,0,0
3220152,0.10,-0.20,0.00,0.65,-20.79,6.70,0,19.25,12.50,19.68,0,0,0,0,0,0,0,2,0,0
3240600,0.10,-0.20,0.00,0.55,-19.43,6.70,0,19.25,12.50,19.68,0,0,0,0,0,0,0,2,0,0
3261056,0.10,-0.20,0.00,0.45,-19.43,6.70,0,19.25,12.50,19.68,0,0,0,0,0,0,0,2,0,0
3281672,0.10,-0.20,0.00,0.55,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3302224,0.10,-0.20,0.00,0.45,-22.15,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3322688,0.10,-0.20,0.00,0.65,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3343136,0.10,-0.20,0.00,0.35,-18.07,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3363576,0.10,-0.20,0.00,0.65,-18.07,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3384192,0.10,-0.20,0.00,0.74,-18.07,7.67,0,18.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3404752,0.10,-0.20,0.00,0.74,-19.43,7.67,0,18.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3425224,0.10,-0.20,0.00,0.45,-18.07,7.67,0,18.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3445688,0.10,-0.20,0.00,0.65,-19.43,7.67,0,18.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3466144,0.10,-0.20,0.00,0.45,-19.43,7.67,0,18.25,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3486760,0.10,-0.20,0.00,0.35,-19.43,9.14,0,18.50,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3507312,0.10,-0.20,0.00,0.65,-20.79,9.14,0,18.50,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3527768,0.10,-0.20,0.00,0.65,-19.43,9.14,0,18.50,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3548224,0.10,-0.20,0.00,0.65,-19.43,9.14,0,18.50,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3568680,0.10,-0.20,0.00,0.55,-19.43,9.14,0,18.50,13.75,19.68,0,0,0,0,0,0,0,2,0,0
3589304,0.10,-0.20,0.00,0.74,-19.43,8.65,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3609848,0.10,-0.20,0.00,0.45,-19.43,8.65,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3630304,0.10,-0.20,0.00,0.65,-19.43,8.65,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3650752,0.10,-0.20,0.00,0.55,-19.43,8.65,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3671208,0.10,-0.20,0.00,0.35,-18.07,8.65,0,18.50,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3691832,0.10,-0.20,0.00,0.65,-18.07,7.18,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3712376,0.10,-0.20,0.00,0.45,-18.07,7.18,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3732824,0.10,-0.20,0.00,0.55,-18.07,7.18,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3753280,0.10,-0.20,0.00,0.74,-18.07,7.18,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3773736,0.10,-0.20,0.00,0.65,-18.07,7.18,0,19.00,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3794352,0.10,-0.20,0.00,0.65,-18.07,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3814904,0.10,-0.20,0.00,0.65,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3835352,0.10,-0.20,0.00,0.74,-18.07,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3855808,0.10,-0.20,0.00,0.65,-18.07,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3876256,0.10,-0.20,0.00,0.65,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3896872,0.10,-0.20,0.00,0.45,-18.07,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3917424,0.10,-0.20,0.00,0.65,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3937880,0.10,-0.20,0.00,0.35,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3958328,0.10,-0.20,0.00,0.35,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3978784,0.10,-0.20,0.00,0.65,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
3999400,0.10,-0.20,0.00,0.74,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
4019952,0.10,-0.20,0.00,0.65,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
4040400,0.10,-0.20,0.00,0.65,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
4060856,0.10,-0.20,0.00,0.74,-19.43,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
4081304,0.10,-0.20,0.00,0.55,-18.07,6.21,0,18.75,13.00,19.68,0,0,0,0,0,0,0,2,0,0
4101920,0.10,-0.20,0.00,0.45,-19.43,5.72,0,19.25,12.75,19.68,0,0,0,0,0,0,0,2,0,0
4122472,0.10,-0.20,0.00,0.55,-19.43,5.72,0,19.25,12.75,19.68,0,0,0,0,0,0,0,2,0,0
4142936,0.10,-0.20,0.00,0.74,-19.43,5.72,0,19.25,12.75,19.68,0,0,0,0,0,0,0,2,0,0
